"그룹","아티팩트","버전","classifier","타입","파일명"
"org.neo4j.driver","neo4j-java-driver-bom","6.1.0","","pom","neo4j-java-driver-bom-6.1.0.pom"
"org.objenesis","objenesis","3.3","","jar","objenesis-3.3.jar"
"org.objenesis","objenesis-parent","3.3","","pom","objenesis-parent-3.3.pom"
"org.opentest4j","opentest4j","1.3.0","","jar","opentest4j-1.3.0.jar"
"org.osgi","org.osgi.annotation.bundle","2.0.0","","jar","org.osgi.annotation.bundle-2.0.0.jar"
"org.osgi","org.osgi.annotation.versioning","1.1.2","","jar","org.osgi.annotation.versioning-1.1.2.jar"
"org.osgi","org.osgi.resource","1.0.0","","jar","org.osgi.resource-1.0.0.jar"
"org.osgi","org.osgi.service.serviceloader","1.0.0","","jar","org.osgi.service.serviceloader-1.0.0.jar"
"org.ow2","ow2","1.5.1","","pom","ow2-1.5.1.pom"
"org.ow2.asm","asm","9.7.1","","jar","asm-9.7.1.jar"
"org.ow2.asm","asm","9.8","","jar","asm-9.8.jar"
"org.ow2.asm","asm-bom","9.8","","pom","asm-bom-9.8.pom"
"org.ow2.asm","asm-commons","9.8","","jar","asm-commons-9.8.jar"
"org.ow2.asm","asm-tree","9.8","","jar","asm-tree-9.8.jar"
"org.projectlombok","lombok","1.18.46","","jar","lombok-1.18.46.jar"
"org.seleniumhq.selenium","selenium-bom","4.37.0","","pom","selenium-bom-4.37.0.pom"
"org.seleniumhq.selenium","selenium-bom","4.43.0","","pom","selenium-bom-4.43.0.pom"
"org.skyscreamer","jsonassert","1.5.3","","jar","jsonassert-1.5.3.jar"
"org.slf4j","jul-to-slf4j","2.0.18","","jar","jul-to-slf4j-2.0.18.jar"
"org.slf4j","slf4j-api","1.7.36","","jar","slf4j-api-1.7.36.jar"
"org.slf4j","slf4j-api","2.0.18","","jar","slf4j-api-2.0.18.jar"
"org.slf4j","slf4j-bom","2.0.18","","pom","slf4j-bom-2.0.18.pom"
"org.slf4j","slf4j-parent","1.7.36","","pom","slf4j-parent-1.7.36.pom"
"org.slf4j","slf4j-parent","2.0.18","","pom","slf4j-parent-2.0.18.pom"
"org.sonatype.oss","oss-parent","7","","pom","oss-parent-7.pom"
"org.sonatype.oss","oss-parent","9","","pom","oss-parent-9.pom"
"org.springdoc","springdoc-openapi","3.0.3","","pom","springdoc-openapi-3.0.3.pom"
"org.springdoc","springdoc-openapi-starter-common","3.0.3","","jar","springdoc-openapi-starter-common-3.0.3.jar"
"org.springdoc","springdoc-openapi-starter-webmvc-api","3.0.3","","jar","springdoc-openapi-starter-webmvc-api-3.0.3.jar"
"org.springdoc","springdoc-openapi-starter-webmvc-ui","3.0.3","","jar","springdoc-openapi-starter-webmvc-ui-3.0.3.jar"
"org.springframework","spring-aop","7.0.8","","jar","spring-aop-7.0.8.jar"
"org.springframework","spring-aspects","7.0.8","","jar","spring-aspects-7.0.8.jar"
"org.springframework","spring-beans","7.0.8","","jar","spring-beans-7.0.8.jar"
"org.springframework","spring-context","7.0.8","","jar","spring-context-7.0.8.jar"
"org.springframework","spring-context-support","7.0.8","","jar","spring-context-support-7.0.8.jar"
"org.springframework","spring-core","7.0.8","","jar","spring-core-7.0.8.jar"
"org.springframework","spring-expression","7.0.8","","jar","spring-expression-7.0.8.jar"
"org.springframework","spring-framework-bom","5.3.39","","pom","spring-framework-bom-5.3.39.pom"
"org.springframework","spring-framework-bom","7.0.6","","pom","spring-framework-bom-7.0.6.pom"
"org.springframework","spring-framework-bom","7.0.8","","pom","spring-framework-bom-7.0.8.pom"
"org.springframework","spring-jdbc","7.0.8","","jar","spring-jdbc-7.0.8.jar"
"org.springframework","spring-orm","7.0.8","","jar","spring-orm-7.0.8.jar"
"org.springframework","spring-test","7.0.8","","jar","spring-test-7.0.8.jar"
"org.springframework","spring-tx","7.0.8","","jar","spring-tx-7.0.8.jar"
"org.springframework","spring-web","7.0.8","","jar","spring-web-7.0.8.jar"
"org.springframework","spring-webmvc","7.0.8","","jar","spring-webmvc-7.0.8.jar"
"org.springframework.ai","spring-ai-bom","1.1.2","","pom","spring-ai-bom-1.1.2.pom"
"org.springframework.amqp","spring-amqp-bom","4.0.2","","pom","spring-amqp-bom-4.0.2.pom"
"org.springframework.amqp","spring-amqp-bom","4.1.0","","pom","spring-amqp-bom-4.1.0.pom"
"org.springframework.batch","spring-batch-bom","6.0.3","","pom","spring-batch-bom-6.0.3.pom"
"org.springframework.batch","spring-batch-bom","6.0.4","","pom","spring-batch-bom-6.0.4.pom"
"org.springframework.boot","org.springframework.boot.gradle.plugin","4.1.0","","pom","org.springframework.boot.gradle.plugin-4.1.0.pom"
"org.springframework.boot","spring-boot","4.1.0","","jar","spring-boot-4.1.0.jar"
"org.springframework.boot","spring-boot-actuator","4.1.0","","jar","spring-boot-actuator-4.1.0.jar"
"org.springframework.boot","spring-boot-actuator-autoconfigure","4.1.0","","jar","spring-boot-actuator-autoconfigure-4.1.0.jar"
"org.springframework.boot","spring-boot-autoconfigure","4.1.0","","jar","spring-boot-autoconfigure-4.1.0.jar"
"org.springframework.boot","spring-boot-buildpack-platform","4.1.0","","jar","spring-boot-buildpack-platform-4.1.0.jar"
